date,fund,asset,weight
2021-01-04,Combined Max-Sharpe,EQ_ABBV,0.0
2021-01-04,Combined Max-Sharpe,EQ_ABT,0.0
2021-01-04,Combined Max-Sharpe,EQ_ADBE,4.690241776521962e-18
2021-01-04,Combined Max-Sharpe,EQ_AEP,0.0
2021-01-04,Combined Max-Sharpe,EQ_AMD,1.3590169019564652e-17
2021-01-04,Combined Max-Sharpe,EQ_AMGN,0.0
2021-01-04,Combined Max-Sharpe,EQ_AMT,2.4783290800853577e-18
2021-01-04,Combined Max-Sharpe,EQ_BA,4.714891640963643e-19
2021-01-04,Combined Max-Sharpe,EQ_CAT,1.7701920362090253e-18
2021-01-04,Combined Max-Sharpe,EQ_CCI,4.583286971861198e-21
2021-01-04,Combined Max-Sharpe,EQ_CMCSA,4.4969765391894326e-18
2021-01-04,Combined Max-Sharpe,EQ_COP,0.0
2021-01-04,Combined Max-Sharpe,EQ_CVX,4.150942925187036e-18
2021-01-04,Combined Max-Sharpe,EQ_D,0.0
2021-01-04,Combined Max-Sharpe,EQ_DD,9.107411247557134e-19
2021-01-04,Combined Max-Sharpe,EQ_DIS,9.205316138666151e-18
2021-01-04,Combined Max-Sharpe,EQ_DOW,0.0
2021-01-04,Combined Max-Sharpe,EQ_DUK,0.0
2021-01-04,Combined Max-Sharpe,EQ_EA,6.756788330380459e-18
2021-01-04,Combined Max-Sharpe,EQ_GE,0.0
2021-01-04,Combined Max-Sharpe,EQ_GILD,8.94450091710646e-18
2021-01-04,Combined Max-Sharpe,EQ_GS,0.0
2021-01-04,Combined Max-Sharpe,EQ_INTC,2.275291832640456e-18
2021-01-04,Combined Max-Sharpe,EQ_KO,0.0
2021-01-04,Combined Max-Sharpe,EQ_MMM,2.1895881359546954e-18
2021-01-04,Combined Max-Sharpe,EQ_MRK,0.0
2021-01-04,Combined Max-Sharpe,EQ_MS,0.0
2021-01-04,Combined Max-Sharpe,EQ_NEE,8.924359688466511e-18
2021-01-04,Combined Max-Sharpe,EQ_NEM,0.07324697969867712
2021-01-04,Combined Max-Sharpe,EQ_NKE,0.0
2021-01-04,Combined Max-Sharpe,EQ_NUE,0.0
2021-01-04,Combined Max-Sharpe,EQ_NVDA,0.08492696982653986
2021-01-04,Combined Max-Sharpe,EQ_O,0.0
2021-01-04,Combined Max-Sharpe,EQ_OXY,0.0
2021-01-04,Combined Max-Sharpe,EQ_PLD,3.1810787830593166e-18
2021-01-04,Combined Max-Sharpe,EQ_PSA,1.1785556087493124e-17
2021-01-04,Combined Max-Sharpe,EQ_QCOM,0.0
2021-01-04,Combined Max-Sharpe,EQ_SBUX,1.7514737095656506e-17
2021-01-04,Combined Max-Sharpe,EQ_SHW,1.531086026796522e-18
2021-01-04,Combined Max-Sharpe,EQ_SLB,2.344076145120355e-18
2021-01-04,Combined Max-Sharpe,EQ_SO,0.0
2021-01-04,Combined Max-Sharpe,EQ_T,2.6783104756315852e-18
2021-01-04,Combined Max-Sharpe,EQ_TMUS,0.0
2021-01-04,Combined Max-Sharpe,EQ_TTWO,0.08229130658933852
2021-01-04,Combined Max-Sharpe,EQ_UPS,0.12439044707824962
2021-01-04,Combined Max-Sharpe,EQ_USB,5.835449009926628e-19
2021-01-04,Combined Max-Sharpe,EQ_V,2.159846505106518e-18
